ident,type,name,elevation_ft,iso_region,municipality,gps_code,local_code,coordinates
K46D,small_airport,Carrington Municipal Airport,1607.0,US-ND,Carrington,K46D,46D,"-99.15110016, 47.4510994"
K46U,small_airport,Alpine Airport,5634.0,US-WY,Alpine,K46U,46U,"-111.04199981689453, 43.184600830078125"
K47A,small_airport,Cherokee County Airport,1219.0,US-GA,Canton,KCNI,CNI,"-84.423896789551, 34.310600280762"
K47K,small_airport,Moundridge Municipal Airport,1489.0,US-KS,Moundridge,K47K,47K,"-97.50270080566406, 38.20909881591797"
K47N,small_airport,Central Jersey Regional Airport,86.0,US-NJ,Manville,47N,47N,"-74.59839630130001, 40.5243988037"
K47V,small_airport,Curtis Municipal Airport,2678.0,US-NE,Curtis,K47V,47V,"-100.4710007, 40.63750076"
K48A,small_airport,Cochran Airport,377.0,US-GA,Cochran,K48A,48A,"-83.27590179, 32.3993988"
K48D,small_airport,Clare Municipal Airport,857.0,US-MI,Clare,K48D,48D,"-84.74019622802734, 43.83449935913086"
K48I,small_airport,Braxton County Airport,1276.0,US-WV,Sutton,K48I,48I,"-80.65180206, 38.68700027"
K48K,small_airport,Ness City Municipal Airport,2308.0,US-KS,Ness City,K48K,48K,"-99.90809631347656, 38.471099853515625"
K48S,small_airport,Harlem Airport,2643.0,US-MT,Harlem,K48S,48S,"-108.77300262451172, 48.56610107421875"
K49A,small_airport,Gilmer County Airport,1486.0,US-GA,Ellijay,K49A,49A,"-84.52490234375, 34.627899169921875"
K49B,small_airport,Sturgis Municipal Airport,3243.0,US-SD,Sturgis,K49B,49B,"-103.375, 44.417999267578125"
K49R,small_airport,Real County Airport,1640.0,US-TX,Leakey,K49R,49R,"-99.76090240478516, 29.745500564575195"
K49X,small_airport,Chemehuevi Valley Airport,631.0,US-CA,Chemehuevi Valley,K49X,49X,"-114.43099975585938, 34.52750015258789"
K4A0,small_airport,Berry Hill Airport,770.0,US-GA,Stockbridge,K4A0,4A0,"-84.1791000366211, 33.535701751708984"
K4A4,small_airport,Polk County Airport- Cornelius Moore Field,974.0,US-GA,Cedartown,K4A4,4A4,"-85.1464996338, 34.018699646"
K4A5,small_airport,Searcy County Airport,963.0,US-AR,Marshall,K4A5,4A5,"-92.65899658203125, 35.89699935913086"
K4A6,small_airport,Scottsboro Municipal Word Field,650.0,US-AL,Scottsboro,K4A6,4A6,"-86.00589752, 34.68870163"
K4A7,small_airport,Henry County Airport,874.0,US-GA,Hampton,KHMP,HMP,"-84.332397, 33.389099"
K4A9,small_airport,Isbell Field,877.0,US-AL,Fort Payne,K4A9,4A9,"-85.72139739990234, 34.47370147705078"
K4B6,small_airport,Ticonderoga Municipal Airport,273.0,US-NY,Ticonderoga,K4B6,4B6,"-73.4131012, 43.87730026"
K4B7,small_airport,Schroon Lake Airport,830.0,US-NY,Schroon Lake,K4B7,4B7,"-73.74259948730469, 43.86259841918945"
K4B8,small_airport,Robertson Field,200.0,US-CT,Plainville,K4B8,4B8,"-72.86479949951172, 41.690399169921875"
K4C8,small_airport,Albia Municipal Airport,963.0,US-IA,Albia,K4C8,4C8,"-92.76300048828125, 40.99449920654297"
K4D0,small_airport,Abrams Municipal Airport,842.0,US-MI,Grand Ledge,K4D0,4D0,"-84.73310089111328, 42.774200439453125"
K4E7,small_airport,Ellendale Municipal Airport,1455.0,US-ND,Ellendale,K4E7,4E7,"-98.51290130615234, 46.01250076293945"
K4F2,small_airport,Panola County Sharpe Field,248.0,US-TX,Carthage,K4F2,4F2,"-94.29879760742188, 32.17610168457031"
K4F7,small_airport,Kizer Field,319.0,US-AR,Prescott,K4F7,4F7,"-93.36219787597656, 33.80390167236328"
K4F8,small_airport,Wilson Airport,230.0,US-AR,Stephens,K4F8,4F8,"-93.0541000366211, 33.443599700927734"
K4F9,small_airport,La Moure Rott Municipal Airport,1310.0,US-ND,La Moure,K4F9,4F9,"-98.28369903564453, 46.34659957885742"
K4G4,small_airport,Youngstown Elser Metro Airport,1070.0,US-OH,Youngstown,K4G4,4G4,"-80.67729949951172, 40.96179962158203"
K4G5,small_airport,Monroe County Airport,1197.0,US-OH,Woodsfield,K4G5,4G5,"-81.10279846191406, 39.77899932861328"
K4G6,small_airport,Hornell Municipal Airport,1219.0,US-NY,Hornell,KHTF,HTF,"-77.68211, 42.382139"
K4G8,small_airport,Columbia Airport,813.0,US-OH,Columbia Station,K4G8,4G8,"-81.96019744873047, 41.31880187988281"
K4I0,small_airport,Mingo County Airport,1575.0,US-WV,Williamson,4I0,4I0,"-82.261001586914, 37.687599182129"
K4I3,small_airport,Knox County Airport,1191.0,US-OH,Mount Vernon,K4I3,4I3,"-82.52380371, 40.32870102"
K4I7,small_airport,Putnam County Airport,842.0,US-IN,Greencastle,KGPC,GPC,"-86.813904, 39.630299"
K4I9,small_airport,Morrow County Airport,1085.0,US-OH,Mount Gilead,K4I9,4I9,"-82.85009765625, 40.52450180053711"
K4J1,small_airport,Brantley County Airport,83.0,US-GA,Nahunta,K4J1,4J1,"-81.90579986572266, 31.207399368286133"
K4J2,small_airport,Berrien County Airport,240.0,US-GA,Nashville,K4J2,4J2,"-83.22630310058594, 31.212600708007812"
K4J5,small_airport,Quitman Brooks County Airport,185.0,US-GA,Quitman,,4J5,"-83.586502, 30.805799"
K4J6,small_airport,St Marys Airport,23.0,US-GA,St Marys,K4J6,4J6,"-81.55879974, 30.75300026"
K4J8,small_airport,Treutlen County Airport,345.0,US-GA,Soperton,K4J8,4J8,"-82.5636978149414, 32.387699127197266"
K4K3,small_airport,Lexington Municipal Airport,691.0,US-MO,Lexington,K4K3,4K3,"-93.9280014038086, 39.209800720214844"
K4K6,small_airport,Bloomfield Municipal Airport,888.0,US-IA,Bloomfield,K4K6,4K6,"-92.42829895019531, 40.73210144042969"
K4M1,small_airport,Carroll County Airport,1205.0,US-AR,Berryville,K4M1,4M1,"-93.62460327, 36.38130188"
K4M2,small_airport,Booneville Municipal Airport,465.0,US-AR,Booneville,K4M2,4M2,"-93.86209869384766, 35.14950180053711"
K4M3,small_airport,Carlisle Municipal Airport,241.0,US-AR,Carlisle,K4M3,4M3,"-91.71209717, 34.80820084"
K4M7,small_airport,Russellville Logan County Airport,689.0,US-KY,Russellville,K4M7,4M7,"-86.8102035522461, 36.79990005493164"
K4M9,small_airport,Corning Municipal Airport,293.0,US-AR,Corning,K4M9,4M9,"-90.64790344238281, 36.40420150756836"
K4N1,small_airport,Greenwood Lake Airport,791.0,US-NJ,West Milford,4N1,4N1,"-74.34670257570001, 41.128200531"
K4O4,small_airport,McCurtain County Regional Airport,472.0,US-OK,Idabel,,4O4,"-94.859398, 33.909401"
K4O5,small_airport,Cherokee Municipal Airport,1177.0,US-OK,Cherokee,,4O5,"-98.358498, 36.787998"
K4P3,small_airport,Flandreau Municipal Airport,1645.0,US-SD,Flandreau,,4P3,"-96.593102, 44.003897"
K4R1,small_airport,I H Bass Jr Memorial Airport,310.0,US-MS,Lumberton,K4R1,4R1,"-89.48259735107422, 31.015499114990234"
K4R3,small_airport,Jackson Municipal Airport,62.0,US-AL,Jackson,K4R3,4R3,"-87.8946991, 31.4720993"
K4R4,small_airport,H L Sonny Callahan Airport,91.0,US-AL,Fairhope,KCQF,CQF,"-87.876999, 30.460501"
K4R5,small_airport,Madeline Island Airport,649.0,US-WI,La Pointe,K4R5,4R5,"-90.75869750976562, 46.788700103759766"
K4R7,small_airport,Eunice Airport,42.0,US-LA,Eunice,4R7,4R7,"-92.423797607422, 30.466299057007"
K4R9,small_airport,Dauphin Island Airport,5.0,US-AL,Dauphin Island,K4R9,4R9,"-88.12750244140625, 30.260499954223633"
K4S1,small_airport,Gold Beach Municipal Airport,20.0,US-OR,Gold Beach,K4S1,4S1,"-124.4240036, 42.41339874"
K4S2,small_airport,Ken Jernstedt Airfield,631.0,US-OR,Hood River,K4S2,4S2,"-121.5360031, 45.67259979"
K4S3,small_airport,Joseph State Airport,4121.0,US-OR,Joseph,KJSY,JSY,"-117.253997803, 45.3596000671"
K4S9,small_airport,Portland Mulino Airport,260.0,US-OR,Portland-Mulino,K4S9,4S9,"-122.58999633789062, 45.21630096435547"
K4SD,small_airport,Reno-Stead Airport,5050.0,US-NV,Reno,KRTS,RTS,"-119.875999451, 39.6674003601"
K4T2,small_airport,Kenneth Copeland Airport,688.0,US-TX,Fort Worth,K4T2,4T2,"-97.4884033203125, 32.977298736572266"
K4U6,small_airport,Circle Town County Airport,2426.0,US-MT,Circle,K4U6,4U6,"-105.56199645996094, 47.41859817504883"
K4U9,small_airport,Dell Flight Strip,6007.0,US-MT,Dell,K4U9,4U9,"-112.720001221, 44.7356987"
K4V0,small_airport,Rangely Airport,5275.0,US-CO,Rangely,4V0,4V0,"-108.763000488, 40.09400177"
K4V1,small_airport,Spanish Peaks Airfield,6047.0,US-CO,Walsenburg,4V1,4V1,"-104.7839966, 37.69660187"
K4V4,small_airport,Northwood Municipal Vince Field,1117.0,US-ND,Northwood,K4V4,4V4,"-97.5904007, 47.7242012"
K4V9,small_airport,Antelope County Airport,1774.0,US-NE,Neligh,K4V9,4V9,"-98.03869629, 42.11220169"
K4X4,small_airport,Wessington Springs Airport,1546.0,US-SD,Wessington Springs,K4X4,4X4,"-98.53089904785156, 44.06100082397461"
K4Y4,small_airport,Lakes of the North Airport,1286.0,US-MI,Gaylord,K4Y4,4Y4,"-84.87640380859375, 44.912498474121094"
K50,small_airport,Cook Airfield Inc Airport,1345.0,US-KS,Derby,K50,K50,"-97.16699981689453, 37.56669998168945"
K50D,small_airport,Iron County Airport,1340.0,US-MI,Crystal Falls,K50D,50D,"-88.2739028930664, 46.00910186767578"
K50F,small_airport,Bourland Field,873.0,US-TX,Fort Worth,K50F,50F,"-97.5907974243164, 32.5817985534668"
K50I,small_airport,Kentland Municipal Airport,698.0,US-IN,Kentland,50I,50I,"-87.42819976810001, 40.7587013245"
K50R,small_airport,Lockhart Municipal Airport,532.0,US-TX,Lockhart,K50R,50R,"-97.67240142822266, 29.850299835205078"
K51A,small_airport,Hawkinsville Pulaski County Airport,270.0,US-GA,Hawkinsville,K51A,51A,"-83.4384994506836, 32.28350067138672"
K51D,small_airport,Edgeley Municipal Airport,1601.0,US-ND,Edgeley,K51D,51D,"-98.73560333, 46.34859848"
K51J,small_airport,Lake City Municipal CJ Evans Field,80.0,US-SC,Lake City,K51J,51J,"-79.76809692379999, 33.853599548300004"
K51R,small_airport,Madisonville Municipal Airport,287.0,US-TX,Madisonville,K51R,51R,"-95.9520034790039, 30.912799835205078"
K52A,small_airport,Madison Municipal Airport,694.0,US-GA,Madison,52A,52A,"-83.46040344240001, 33.6120986938"
K52F,small_airport,Northwest Regional Airport,643.0,US-TX,Roanoke,K52F,52F,"-97.2322006225586, 33.049800872802734"
K52J,small_airport,Lee County Butters Field,211.0,US-SC,Bishopville,K52J,52J,"-80.23600006103516, 34.24449920654297"
K53A,small_airport,Dr. C P Savage Sr. Airport,337.0,US-GA,Montezuma,K53A,53A,"-84.00749969479999, 32.301998138399995"
K54F,small_airport,Robert Lee Airport,1922.0,US-TX,Robert Lee,K54F,54F,"-100.54000091552734, 31.881799697875977"
K54J,small_airport,Defuniak Springs Airport,289.0,US-FL,Defuniak Springs,K54J,54J,"-86.15160369873047, 30.731300354003906"
K54T,small_airport,RWJ Airpark,30.0,US-TX,Baytown,K54T,54T,"-94.846496582, 29.7616996765"
K55,small_airport,Thompson Pass Airport,2080.0,US-AK,Valdez,,K55,"-145.688006, 61.177299"
K55J,small_airport,Fernandina Beach Municipal Airport,16.0,US-FL,Fernandina Beach,KFHB,FHB,"-81.461197, 30.611799"
K55K,small_airport,Oxford Municipal Airport,1189.0,US-KS,Oxford,K55K,55K,"-97.09140014648438, 37.26969909667969"
K55M,small_airport,Star City Municipal Airport,398.0,US-AR,Star City,K55M,55M,"-91.87740325927734, 33.92610168457031"
K55Y,small_airport,Rushford Municipal Airport - Robert W Bunke Field,1211.0,US-MN,Rushford,,55Y,"-91.830101, 43.8158"
K56D,small_airport,Wyandot County Airport,830.0,US-OH,Upper Sandusky,K56D,56D,"-83.31449890136719, 40.883399963378906"
K56F,small_airport,Fisher County Airport,1941.0,US-TX,Rotan/Roby,K56F,56F,"-100.41500091552734, 32.82569885253906"
K57C,small_airport,East Troy Municipal Airport,860.0,US-WI,East Troy,K57C,57C,"-88.37259674072266, 42.79719924926758"
K57S,small_airport,Troy Airport,2017.0,US-MT,Troy,K57S,57S,"-115.90399932861328, 48.480201721191406"
K58M,small_airport,Cecil County Airport,106.0,US-MD,Elkton,K58M,58M,"-75.86979675292969, 39.57419967651367"
K5A1,small_airport,Norwalk Huron County Airport,852.0,US-OH,Norwalk,K5A1,5A1,"-82.55120086669922, 41.24480056762695"
K5A4,small_airport,Okolona Municipal-Richard Stovall Field,335.0,US-MS,Okolona,K5A4,5A4,"-88.7261962891, 34.015800476100004"
K5A6,small_airport,WinonaâMontgomery County Airport,364.0,US-MS,Winona,5A6,5A6,"-89.72920227, 33.4654007"
K5A9,small_airport,Roosevelt Memorial Airport,880.0,US-GA,Warm Springs,K5A9,5A9,"-84.68879699707031, 32.93349838256836"
K5B2,small_airport,Saratoga County Airport,434.0,US-NY,Saratoga Springs,K5B2,5B2,"-73.86119843, 43.05130005"
K5B5,small_airport,Napoleon Municipal Airport,1983.0,US-ND,Napoleon,K5B5,5B5,"-99.76010131835938, 46.49440002441406"
K5C1,small_airport,Boerne Stage Field,1385.0,US-TX,San Antonio,K5C1,5C1,"-98.6946029663086, 29.723899841308594"
K5C3,small_airport,Nary National Shefland Field,1389.0,US-MN,Nary,K5C3,5C3,"-94.7979965209961, 47.3760986328125"
K5C8,small_airport,Washburn Municipal Airport,1908.0,US-ND,Washburn,,5C8,"-101.0258889, 47.3511667"
K5F0,small_airport,Arcadia Bienville Parish Airport,440.0,US-LA,Arcadia,K5F0,5F0,"-92.9540023803711, 32.53070068359375"
K5F1,small_airport,Post Garza County Municipal Airport,2545.0,US-TX,Post,K5F1,5F1,"-101.33999633789062, 33.20370101928711"
K5F4,small_airport,Homer Municipal Airport,244.0,US-LA,Homer,K5F4,5F4,"-93.00370025634766, 32.78850173950195"
K5G6,closed,Cherry Springs Airport,2330.0,US-PA,Galeton,,,"-77.818298, 41.6647"
K5G7,small_airport,Bluffton Airport,851.0,US-OH,Bluffton,K5G7,5G7,"-83.86859893798828, 40.885398864746094"
K5H4,small_airport,Harvey Municipal Airport,1607.0,US-ND,Harvey,K5H4,5H4,"-99.93170166, 47.79119873"
K5I4,small_airport,Sheridan Airport,936.0,US-IN,Sheridan,K5I4,5I4,"-86.21730041503906, 40.17789840698242"
K5J9,small_airport,Twin City Airport,99.0,US-SC,Loris,K5J9,5J9,"-78.86489868164062, 34.088401794433594"
K5K1,small_airport,Zelmer Memorial Airpark Inc Airport,663.0,US-IL,Palmyra,K5K1,5K1,"-89.99120330810547, 39.41999816894531"
K5L0,small_airport,Lakota Municipal Airport,1512.0,US-ND,Lakota,K5L0,5L0,"-98.32530212402344, 48.02939987182617"
K5M0,small_airport,Hartselle-Morgan County Regional Airport,628.0,US-AL,Hartselle,5M0,5M0,"-86.9329505556, 34.4082344444"
K5M3,small_airport,Moultonboro Airport,571.0,US-NH,Moultonboro,K5M3,5M3,"-71.38670349121094, 43.76839828491211"
K5M4,small_airport,Fordyce Municipal Airport,193.0,US-AR,Fordyce,,5M4,"-92.365501, 33.845798"
K5M5,small_airport,Crystal Lake Airport,1180.0,US-AR,Decatur,K5M5,5M5,"-94.4448013305664, 36.34360122680664"
K5M8,small_airport,Gurdon Lowe Field,229.0,US-AR,Gurdon,K5M8,5M8,"-93.168701171875, 33.92390060424805"
K5M9,small_airport,Marion Crittenden County Airport,650.0,US-KY,Marion,K5M9,5M9,"-88.11509705, 37.33430099"
K5N2,small_airport,Prentice Airport,1578.0,US-WI,Prentice,,5N2,"-90.279297, 45.542999"
K5N8,small_airport,Casselton Robert Miller Regional Airport,933.0,US-ND,Casselton,K5N8,5N8,"-97.20870208740234, 46.854000091552734"
K5P2,small_airport,Mc Laughlin Municipal Airport,2006.0,US-SD,Mc Laughlin,K5P2,5P2,"-100.783996582, 45.796798706100006"
K5R1,small_airport,Roy Wilcox Airport,165.0,US-AL,Chatom,K5R1,5R1,"-88.19450378417969, 31.451799392700195"
K5R2,small_airport,Ocean Springs Airport,20.0,US-MS,Ocean Springs,K5R2,5R2,"-88.75340270996094, 30.389400482177734"
K5R4,small_airport,Foley Municipal Airport,74.0,US-AL,Foley,K5R4,5R4,"-87.700798, 30.4277"
K5R8,small_airport,De Quincy Industrial Airpark,81.0,US-LA,De Quincy,K5R8,5R8,"-93.47350311279297, 30.441200256347656"
K5S0,small_airport,Oakridge State Airport,1393.0,US-OR,Oakridge,K5S0,5S0,"-122.50299835205078, 43.752601623535156"
K5S2,small_airport,Crescent Lake State Airport,4810.0,US-OR,Crescent Lake,K5S2,5S2,"-121.94999694824219, 43.53260040283203"
K5S6,small_airport,Cape Blanco State Airport,214.0,US-OR,Denmark,K5S6,5S6,"-124.51799774169922, 42.8578987121582"
K5S9,small_airport,Valley View Airport,735.0,US-OR,Estacada,K5S9,5S9,"-122.31900024414062, 45.30820083618164"
K5T6,small_airport,DoÃ±a Ana County International Jetport,4112.0,US-NM,Santa Teresa,KDNA,DNA,"-106.705002, 31.881001"
K5T9,small_airport,Maverick County Memorial International Airport,887.0,US-TX,Eagle Pass,5T9,5T9,"-100.512001, 28.85720062"
K5U1,small_airport,Dutton Airport,3699.0,US-MT,Dutton,K5U1,5U1,"-111.697998046875, 47.847198486328125"
K5U5,small_airport,Fairfield Airport,3989.0,US-MT,Fairfield,K5U5,5U5,"-111.9800033569336, 47.62910079956055"
K5U7,small_airport,Fort Smith Landing Strip,3242.0,US-MT,Fort Smith,,5U7,"-107.931, 45.320802"
K5V5,small_airport,Shiprock Airstrip,5270.0,US-NM,Shiprock,K5V5,5V5,"-108.70099639892578, 36.69779968261719"
K5W1,small_airport,Wilson Creek Airport,1440.0,US-WA,Wilson Creek,K5W1,5W1,"-119.11499786376953, 47.42490005493164"
K5W4,small_airport,P K Airpark,304.0,US-NC,Raeford,,5W4,"-79.191002, 35.019901"
K5W5,small_airport,Triple W Airport,244.0,US-NC,Raleigh,,5W5,"-78.700302, 35.6203"
K5W8,small_airport,Siler City Municipal Airport,614.0,US-NC,Siler City,KSCR,SCR,"-79.504204, 35.7043"
K5Y1,small_airport,Albert J Lindberg Airport,760.0,US-MI,Hessel,K5Y1,5Y1,"-84.4197998046875, 46.0359001159668"
K60C,small_airport,Elroy Municipal Airport,944.0,US-WI,Elroy,K60C,60C,"-90.25759887695312, 43.70640182495117"
K60F,small_airport,Seymour Municipal Airport,1344.0,US-TX,Seymour,K60F,60F,"-99.2605972290039, 33.64870071411133"
K60J,small_airport,Odell Williamson Municipal Airport,32.0,US-NC,Ocean Isle Beach,K60J,60J,"-78.43669891357422, 33.90850067138672"
K60R,small_airport,Navasota Municipal Airport,228.0,US-TX,Navasota,K60R,60R,"-96.11329650878906, 30.37190055847168"
K61A,small_airport,Camden Municipal Airport,143.0,US-AL,Camden,K61A,61A,"-87.33910369873047, 31.979700088500977"
K61B,small_airport,Boulder City Municipal Airport,2201.0,US-NV,Boulder City,KBVU,BVU,"-114.861000061, 35.9474983215"
K61C,small_airport,Fort Atkinson Municipal Airport,800.0,US-WI,Fort Atkinson,K61C,61C,"-88.81759643554688, 42.963199615478516"
K61R,small_airport,Newton Municipal Airport,320.0,US-TX,Newton,K61R,61R,"-93.7417984008789, 30.8843994140625"
K61S,small_airport,Cottage Grove State Airport,641.0,US-OR,Cottage Grove,K61S,61S,"-123.02899932861328, 43.799800872802734"
K62D,small_airport,Warren Airport,905.0,US-OH,Warren,K62D,62D,"-80.92739868164062, 41.266998291015625"
K62S,small_airport,Christmas Valley Airport,4317.0,US-OR,Christmas Valley,K62S,62S,"-120.66600036621094, 43.23649978637695"
K63,small_airport,Council Grove Municipal Airport,1409.0,US-KS,Council Grove,K63,K63,"-96.57109832763672, 38.67919921875"
K63B,small_airport,Limington Harmon Airport,291.0,US-ME,Limington,K63B,63B,"-70.67250061035156, 43.76300048828125"
K63C,small_airport,Adams County Legion Field,976.0,US-WI,Friendship (Adams),K63C,63C,"-89.78800201416016, 43.96120071411133"
K63F,small_airport,Stanton Municipal Airport,2731.0,US-TX,Stanton,K63F,63F,"-101.8219985961914, 32.17359924316406"
K63M,small_airport,Hermann Municipal Airport,507.0,US-MO,Hermann,K63M,63M,"-91.4906005859375, 38.7052001953125"
K64,small_airport,Vinland Valley Aerodrome,890.0,US-KS,Baldwin City,K64,K64,"-95.18219757080078, 38.837501525878906"
K64S,small_airport,Prospect State Airport,2578.0,US-OR,Prospect,K64S,64S,"-122.48799896240234, 42.74319839477539"
K65,small_airport,Dighton Airport,2778.0,US-KS,Dighton,K65,K65,"-100.4800033569336, 38.48970031738281"
K65J,small_airport,Wrens Memorial Airport,450.0,US-GA,Wrens,K65J,65J,"-82.38369750976562, 33.222599029541016"
K65S,small_airport,Boundary County Airport,2337.0,US-ID,Bonners Ferry,K65S,65S,"-116.2949982, 48.72579956"
K66R,small_airport,Robert R Wells Jr Airport,242.0,US-TX,Columbus,K66R,66R,"-96.51580047607422, 29.64109992980957"
K66V,small_airport,Bluff Airport,4476.0,US-UT,Bluff,K66V,66V,"-109.63400268554688, 37.25"
K66Y,small_airport,Diamondhead Airport,14.0,US-MS,Diamondhead,K66Y,66Y,"-89.38770294189453, 30.363000869750977"
K67,small_airport,Oswego Municipal Airport,830.0,US-KS,Oswego,K67,K67,"-95.0425033569336, 37.1598014831543"
K67A,small_airport,Fort Deposit Lowndes County Airport,490.0,US-AL,Fort Deposit,K67A,67A,"-86.59159851074219, 31.972400665283203"
K67L,small_airport,Mesquite Airport,1978.0,US-NV,Mesquite,67L,67L,"-114.0550003, 36.83499908"
K67R,small_airport,Rio Grande City Municipal Airport,290.0,US-TX,Rio Grande City,K67R,67R,"-98.84609985351562, 26.424299240112305"
K68,small_airport,Garnett Municipal Airport,989.0,US-KS,Garnett,K68,K68,"-95.21690368652344, 38.27920150756836"
K68F,small_airport,Teague Municipal Airport,525.0,US-TX,Teague,K68F,68F,"-96.30999755859375, 31.661300659179688"
K68J,small_airport,Tallahassee Commercial Airport,155.0,US-FL,Tallahassee /Havana/,K68J,68J,"-84.3738021851, 30.547300338699998"
K68S,small_airport,Davenport Airport,2421.0,US-WA,Davenport,K68S,68S,"-118.16799926757812, 47.65359878540039"
K69K,small_airport,Wamego Municipal Airport,966.0,US-KS,Wamego,K69K,69K,"-96.25890350341797, 39.197200775146484"
K69V,small_airport,Huntington Municipal Airport,5915.0,US-UT,Huntington,K69V,69V,"-110.91699981689453, 39.36119842529297"
K6A1,small_airport,Butler Municipal Airport,667.0,US-GA,Butler,K6A1,6A1,"-84.25070190429688, 32.56760025024414"
K6A2,small_airport,Griffin Spalding County Airport,958.0,US-GA,Griffin,K6A2,6A2,"-84.27490234375, 33.22700119018555"
K6A4,small_airport,Johnson County Airport,2240.0,US-TN,Mountain City,K6A4,6A4,"-81.82510375976562, 36.41780090332031"
K6B9,small_airport,Skaneateles Aero Drome Airport,1038.0,US-NY,Skaneateles,K6B9,6B9,"-76.44080352783203, 42.91400146484375"
K6D1,small_airport,Brooten Municipal Airport,1305.0,US-MN,Brooten,K6D1,6D1,"-95.11280059814453, 45.5"
K6D6,small_airport,Greenville Municipal Airport,855.0,US-MI,Greenville,K6D6,6D6,"-85.25379943847656, 43.14229965209961"
K6D8,small_airport,Barnes County Municipal Airport,1402.0,US-ND,Valley City,KBAC,BAC,"-98.01760101, 46.94100189"
K6D9,small_airport,Iosco County Airport,606.0,US-MI,East Tawas,,6D9,"-83.422302, 44.312801"
K6E5,small_airport,Wilder Airport,1729.0,US-SD,Desmet,K6E5,6E5,"-97.56120300292969, 44.43080139160156"
K6G0,closed,Athelone Williams Memorial Airport,780.0,US-MI,Davison,,,"-83.529702, 43.029099"
K6G1,small_airport,Titusville Airport,1600.0,US-PA,Titusville,K6G1,6G1,"-79.74130249023438, 41.60879898071289"
K6G4,small_airport,Wynkoop Airport,1041.0,US-OH,Mount Vernon,K6G4,6G4,"-82.49569702148438, 40.3651008605957"
K6G5,small_airport,Barnesville Bradfield Airport,1312.0,US-OH,Barnesville,K6G5,6G5,"-81.19180297851562, 40.00239944458008"
K6I2,small_airport,Lebanon Springfield Airport,866.0,US-KY,Springfield,K6I2,6I2,"-85.2417984008789, 37.63349914550781"
K6I4,small_airport,Boone County Airport,959.0,US-IN,Lebanon,K6I4,6I4,"-86.44059753417969, 40.007301330566406"
K6I6,small_airport,Darby Dan Airport,928.0,US-OH,Columbus,K6I6,6I6,"-83.20490264892578, 39.94200134277344"
K6J0,small_airport,Lexington County Airport,452.0,US-SC,Pelion,,6J0,"-81.245903, 33.794601"
K6J2,small_airport,St George Airport,85.0,US-SC,St George,K6J2,6J2,"-80.50849915, 33.19549942"
K6J4,small_airport,Saluda County Airport,555.0,US-SC,Saluda,K6J4,6J4,"-81.79460144042969, 33.92679977416992"
K6J7,small_airport,Branhams Airport,165.0,US-SC,Darlington,K6J7,6J7,"-79.92870330810547, 34.282100677490234"
K6K3,small_airport,Creighton Municipal Airport,1654.0,US-NE,Creighton,K6K3,6K3,"-97.88369751, 42.47079849"
K6K4,small_airport,Fairview Municipal Airport,1272.0,US-OK,Fairview,K6K4,6K4,"-98.47579956054688, 36.29010009765625"
K6K5,small_airport,Sisters Eagle Air Airport,3168.0,US-OR,Sisters,K6K5,6K5,"-121.53900146484375, 44.30459976196289"
K6L3,small_airport,Lisbon Municipal Airport,1232.0,US-ND,Lisbon,,6L3,"-97.727302, 46.446603"
K6L4,small_airport,Logan County Airport,1667.0,US-WV,Logan,6L4,6L4,"-81.91590118410001, 37.8557014465"
K6L5,small_airport,Wishek Municipal Airport,2035.0,US-ND,Wishek,K6L5,6L5,"-99.53790283203125, 46.24639892578125"
K6M0,small_airport,Hazen Municipal Airport,230.0,US-AR,Hazen,K6M0,6M0,"-91.63809967041016, 34.7593994140625"
K6M2,small_airport,Horseshoe Bend Airport,782.0,US-AR,Horseshoe Bend,K6M2,6M2,"-91.75550079345703, 36.22140121459961"
K6M6,small_airport,Lewis County Regional Airport,675.0,US-MO,Monticello,K6M6,6M6,"-91.67829895, 40.12919998"
K6M7,small_airport,Marianna Lee County Steve Edwards Field,219.0,US-AR,Marianna,K6M7,6M7,"-90.81060028, 34.78030014"
K6R3,small_airport,Cleveland Municipal Airport,150.0,US-TX,Cleveland,K6R3,6R3,"-95.00800323486328, 30.356399536132812"
K6R6,small_airport,Terrell County Airport,2322.0,US-TX,Dryden,K6R6,6R6,"-102.21299743652344, 30.04599952697754"
K6S0,small_airport,Big Timber Airport,4492.0,US-MT,Big Timber,K6S0,6S0,"-109.98100280761719, 45.806400299072266"
K6S1,small_airport,Bridger Municipal Airport,3720.0,US-MT,Bridger,K6S1,6S1,"-108.921632767, 45.291675038"
K6S2,small_airport,Florence Municipal Airport,51.0,US-OR,Florence,,6S2,"-124.111000061, 43.98279953"
K6S3,small_airport,Woltermann Memorial Airport,3575.0,US-MT,Columbus,K6S3,6S3,"-109.238998413, 45.6305007935"
K6S5,small_airport,Ravalli County Airport,3642.0,US-MT,Hamilton,K6S5,6S5,"-114.1259994506836, 46.25149917602539"
K6S8,small_airport,Laurel Municipal Airport,3517.0,US-MT,Laurel,K6S8,6S8,"-108.76100158691406, 45.70309829711914"
K6U7,small_airport,Hysham Airport,2624.0,US-MT,Hysham,K6U7,6U7,"-107.19599914550781, 46.289398193359375"
K6V0,small_airport,Edgemont Municipal Airport,3605.0,US-SD,Edgemont,6V0,6V0,"-103.84400177, 43.29520034789999"
